City,State,Crime Count
Abbeville,South Carolina,59
Acadia,Louisiana,98
Accomack,Virginia,80
Ada,Idaho,211
Adair,Iowa,2
Adair,Kentucky,58
Adair,Missouri,14
Adair,Oklahoma,56
Adams,Colorado,464
Adams,Idaho,3
Adams,Illinois,27
Adams,Indiana,3
Adams,Iowa,5
Adams,Mississippi,126
Adams,Nebraska,18
Adams,North Dakota,2
Adams,Ohio,12
Adams,Pennsylvania,67
Adams,Washington,32
Adams,Wisconsin,15
Addison,Vermont,34
Aiken,South Carolina,382
Aitkin,Minnesota,14
Alachua,Florida,342
Alamance,North Carolina,276
Alameda,California,5551
Alamosa,Colorado,24
Albany,New York,327
Albany,Wyoming,27
Albemarle,Virginia,86
Alcona,Michigan,16
Alcorn,Mississippi,26
Aleutians West,Alaska,8
Alexander,Illinois,18
Alexander,North Carolina,70
Alexandria,Virginia,196
Alfalfa,Oklahoma,3
Alger,Michigan,13
Allamakee,Iowa,1
Allegan,Michigan,60
Allegany,Maryland,70
Allegany,New York,26
Alleghany,North Carolina,12
Alleghany,Virginia,19
Allegheny,Pennsylvania,2542
Allen,Indiana,829
Allen,Kansas,8
Allen,Kentucky,10
Allen,Louisiana,56
Allen,Ohio,197
Allendale,South Carolina,55
Alpena,Michigan,19
Alpine,California,6
Amador,California,29
Amelia,Virginia,19
Amherst,Virginia,52
Amite,Mississippi,4
Anchorage,Alaska,676
Anderson,Kansas,5
Anderson,Kentucky,13
Anderson,South Carolina,521
Anderson,Tennessee,84
Anderson,Texas,138
Andrew,Missouri,13
Andrews,Texas,24
Androscoggin,Maine,85
Angelina,Texas,210
Anne Arundel,Maryland,634
Anoka,Minnesota,113
Anson,North Carolina,126
Antelope,Nebraska,2
Antrim,Michigan,6
Apache,Arizona,27
Appanoose,Iowa,9
Appling,Georgia,22
Appomattox,Virginia,25
Aransas,Texas,42
Arapahoe,Colorado,790
Archer,Texas,13
Archuleta,Colorado,11
Arenac,Michigan,9
Arkansas,Arkansas,53
Arlington,Virginia,180
Armstrong,Pennsylvania,31
Armstrong,Texas,2
Aroostook,Maine,52
Ascension,Louisiana,171
Ashe,North Carolina,33
Ashland,Ohio,25
Ashland,Wisconsin,11
Ashley,Arkansas,76
Ashtabula,Ohio,69
Asotin,Washington,17
Assumption,Louisiana,43
Atascosa,Texas,103
Atchison,Kansas,16
Atchison,Missouri,2
Athens,Ohio,22
Atkinson,Georgia,13
Atlantic,New Jersey,661
Atoka,Oklahoma,31
Attala,Mississippi,47
Audrain,Missouri,27
Auglaize,Ohio,7
Augusta,Virginia,85
Austin,Texas,43
Autauga,Alabama,63
Avery,North Carolina,23
Avoyelles,Louisiana,38
Baca,Colorado,2
Bacon,Georgia,24
Bailey,Texas,17
Baker,Florida,35
Baker,Georgia,4
Baker,Oregon,12
Baldwin,Alabama,166
Baldwin,Georgia,83
Ballard,Kentucky,5
Baltimore,Maryland,1113
Baltimore city,Maryland,9336
Bamberg,South Carolina,65
Bandera,Texas,25
Banks,Georgia,12
Bannock,Idaho,52
Baraga,Michigan,3
Barber,Kansas,1
Barbour,Alabama,61
Barbour,West Virginia,12
Barnes,North Dakota,7
Barnstable,Massachusetts,107
Barnwell,South Carolina,71
Barren,Kentucky,39
Barron,Wisconsin,23
Barrow,Georgia,60
Barry,Michigan,37
Barry,Missouri,23
Bartholomew,Indiana,42
Barton,Kansas,24
Barton,Missouri,14
Bartow,Georgia,72
Bastrop,Texas,112
Bates,Missouri,23
Bath,Kentucky,13
Bath,Virginia,9
Baxter,Arkansas,37
Bay,Florida,295
Bay,Michigan,70
Bayfield,Wisconsin,12
Baylor,Texas,10
Beadle,South Dakota,3
Bear Lake,Idaho,4
Beaufort,North Carolina,120
Beaufort,South Carolina,221
Beauregard,Louisiana,45
Beaver,Oklahoma,5
Beaver,Pennsylvania,169
Beaver,Utah,9
Beaverhead,Montana,5
Becker,Minnesota,17
Beckham,Oklahoma,44
Bedford,Pennsylvania,45
Bedford,Tennessee,45
Bedford,Virginia,70
Bee,Texas,43
Belknap,New Hampshire,34
Bell,Kentucky,66
Bell,Texas,580
Belmont,Ohio,35
Beltrami,Minnesota,32
Ben Hill,Georgia,44
Benewah,Idaho,12
Bennett,South Dakota,3
Bennington,Vermont,25
Benson,North Dakota,2
Bent,Colorado,7
Benton,Arkansas,106
Benton,Indiana,3
Benton,Iowa,11
Benton,Minnesota,12
Benton,Mississippi,2
Benton,Missouri,21
Benton,Oregon,40
Benton,Tennessee,15
Benton,Washington,143
Benzie,Michigan,16
Bergen,New Jersey,421
Berkeley,South Carolina,323
Berkeley,West Virginia,112
Berks,Pennsylvania,542
Berkshire,Massachusetts,46
Bernalillo,New Mexico,1888
Berrien,Georgia,27
Berrien,Michigan,298
Bertie,North Carolina,74
Bethel,Alaska,23
Bexar,Texas,5522
Bibb,Alabama,1
Bibb,Georgia,745
Bienville,Louisiana,23
Big Horn,Montana,10
Big Horn,Wyoming,12
Big Stone,Minnesota,1
Bingham,Idaho,35
Black Hawk,Iowa,106
Blackford,Indiana,8
Bladen,North Carolina,127
Blaine,Idaho,14
Blaine,Montana,3
Blaine,Nebraska,2
Blaine,Oklahoma,19
Blair,Pennsylvania,92
Blanco,Texas,15
Bland,Virginia,12
Bleckley,Georgia,13
Bledsoe,Tennessee,13
Blount,Alabama,31
Blount,Tennessee,85
Blue Earth,Minnesota,26
Boise,Idaho,19
Bolivar,Mississippi,69
Bollinger,Missouri,11
Bon Homme,South Dakota,1
Bond,Illinois,7
Bonner,Idaho,33
Bonneville,Idaho,71
Boone,Arkansas,45
Boone,Illinois,8
Boone,Indiana,12
Boone,Iowa,9
Boone,Kentucky,32
Boone,Missouri,163
Boone,West Virginia,35
Borden,Texas,2
Bosque,Texas,23
Bossier,Louisiana,235
Botetourt,Virginia,39
Bottineau,North Dakota,4
Boulder,Colorado,163
Boundary,Idaho,14
Bourbon,Kansas,15
Bourbon,Kentucky,23
Bowie,Texas,258
Bowman,North Dakota,1
Box Butte,Nebraska,11
Box Elder,Utah,24
Boyd,Kentucky,35
Boyd,Nebraska,1
Boyle,Kentucky,23
Bracken,Kentucky,2
Bradford,Florida,39
Bradford,Pennsylvania,53
Bradley,Arkansas,36
Bradley,Tennessee,125
Branch,Michigan,35
Brantley,Georgia,14
Braxton,West Virginia,18
Brazoria,Texas,387
Brazos,Texas,229
Breathitt,Kentucky,42
Breckinridge,Kentucky,21
Bremer,Iowa,6
Brevard,Florida,667
Brewster,Texas,18
Briscoe,Texas,3
Bristol,Massachusetts,384
Bristol,Rhodes Island,8
Bristol,Virginia,31
Bristol Bay,Alaska,3
Broadwater,Montana,5
Bronx,New York,1
Brooke,West Virginia,14
Brookings,South Dakota,4
Brooks,Georgia,28
Brooks,Texas,25
Broome,New York,164
Broomfield,Colorado,12
Broward,Florida,3171
Brown,Illinois,2
Brown,Indiana,13
Brown,Kansas,11
Brown,Minnesota,5
Brown,Nebraska,1
Brown,Ohio,5
Brown,South Dakota,13
Brown,Texas,57
Brown,Wisconsin,129
Brunswick,North Carolina,128
Brunswick,Virginia,52
Bryan,Georgia,18
Bryan,Oklahoma,73
Buchanan,Iowa,7
Buchanan,Missouri,104
Buchanan,Virginia,79
Buckingham,Virginia,38
Bucks,Pennsylvania,337
Buena Vista,Iowa,13
Buena Vista,Virginia,7
Buffalo,Nebraska,18
Buffalo,Wisconsin,5
Bullitt,Kentucky,27
Bulloch,Georgia,63
Bullock,Alabama,18
Buncombe,North Carolina,370
Bureau,Illinois,11
Burke,Georgia,61
Burke,North Carolina,169
Burleigh,North Dakota,45
Burleson,Texas,44
Burlington,New Jersey,276
Burnet,Texas,37
Burnett,Wisconsin,10
Burt,Nebraska,3
Butler,Alabama,60
Butler,Iowa,7
Butler,Kansas,39
Butler,Kentucky,3
Butler,Missouri,62
Butler,Nebraska,3
Butler,Ohio,349
Butler,Pennsylvania,83
Butte,California,326
Butte,Idaho,2
Butte,South Dakota,2
Butts,Georgia,30
Cabarrus,North Carolina,269
Cabell,West Virginia,193
Cache,Utah,22
Caddo,Louisiana,1616
Caddo,Oklahoma,77
Calaveras,California,99
Calcasieu,Louisiana,438
Caldwell,Kentucky,18
Caldwell,Louisiana,18
Caldwell,Missouri,2
Caldwell,North Carolina,188
Caldwell,Texas,35
Caledonia,Vermont,23
Calhoun,Alabama,328
Calhoun,Arkansas,22
Calhoun,Florida,23
Calhoun,Georgia,22
Calhoun,Illinois,1
Calhoun,Iowa,3
Calhoun,Michigan,324
Calhoun,Mississippi,2
Calhoun,South Carolina,48
Calhoun,Texas,37
Calhoun,West Virginia,15
Callahan,Texas,16
Callaway,Missouri,32
Calloway,Kentucky,18
Calumet,Wisconsin,8
Calvert,Maryland,64
Camas,Idaho,1
Cambria,Pennsylvania,148
Camden,Georgia,52
Camden,Missouri,35
Camden,New Jersey,1619
Camden,North Carolina,10
Cameron,Louisiana,3
Cameron,Pennsylvania,4
Cameron,Texas,641
Camp,Texas,28
Campbell,Kentucky,87
Campbell,Tennessee,43
Campbell,Virginia,80
Campbell,Wyoming,39
Canadian,Oklahoma,87
Candler,Georgia,9
Cannon,Tennessee,12
Canyon,Idaho,140
Cape Girardeau,Missouri,72
Cape May,New Jersey,90
Carbon,Montana,10
Carbon,Pennsylvania,46
Carbon,Utah,40
Carbon,Wyoming,29
Caribou,Idaho,5
Carlisle,Kentucky,1
Carlton,Minnesota,17
Caroline,Maryland,46
Caroline,Virginia,44
Carroll,Arkansas,37
Carroll,Georgia,143
Carroll,Illinois,1
Carroll,Indiana,19
Carroll,Iowa,2
Carroll,Kentucky,19
Carroll,Maryland,70
Carroll,Mississippi,2
Carroll,Missouri,12
Carroll,New Hampshire,24
Carroll,Ohio,1
Carroll,Tennessee,22
Carroll,Virginia,46
Carson,Texas,12
Carson City city,Nevada,27
Carter,Kentucky,15
Carter,Missouri,5
Carter,Oklahoma,132
Carter,Tennessee,54
Carteret,North Carolina,76
Carver,Minnesota,27
Cascade,Montana,67
Casey,Kentucky,18
Cass,Illinois,1
Cass,Indiana,26
Cass,Iowa,2
Cass,Michigan,56
Cass,Minnesota,44
Cass,Missouri,56
Cass,Nebraska,12
Cass,North Dakota,40
Cass,Texas,68
Cassia,Idaho,36
Castro,Texas,14
Caswell,North Carolina,70
Catahoula,Louisiana,15
Catawba,North Carolina,323
Catoosa,Georgia,48
Catron,New Mexico,8
Cattaraugus,New York,43
Cavalier,North Dakota,3
Cayuga,New York,44
Cecil,Maryland,111
Cedar,Iowa,5
Cedar,Missouri,11
Cedar,Nebraska,6
Centre,Pennsylvania,57
Cerro Gordo,Iowa,22
Chaffee,Colorado,10
Chambers,Alabama,99
