City,State,Crime Count,Latitude,Longitude
Abbeville,South Carolina,59,34.1787,-82.3774
Adair,Iowa,2,41.5004,-94.6434
Adair,Oklahoma,56,36.4366,-95.2727
Adams,Nebraska,18,40.4571,-96.5127
Adams,North Dakota,2,48.4202,-98.0737
Adams,Wisconsin,15,43.9554,-89.8169
Aiken,South Carolina,382,33.531,-81.7268
Aitkin,Minnesota,14,46.5289,-93.7067
Alachua,Florida,342,29.7778,-82.4831
Alamance,North Carolina,276,36.0285,-79.4891
Alameda,California,5551,37.767,-122.2672
Alamosa,Colorado,24,37.4751,-105.8769
Albany,New York,327,42.6664,-73.7987
Albany,Wyoming,27,41.1868,-106.1255
Alexandria,Virginia,196,38.8185,-77.0861
Allegan,Michigan,60,42.5299,-85.8462
Allen,Kansas,8,38.6552,-96.1696
Allen,Kentucky,10,37.6119,-82.7292
Allendale,South Carolina,55,33.008,-81.3092
Alpena,Michigan,19,45.074,-83.4399
Alpine,California,6,32.8439,-116.7585
Amherst,Virginia,52,37.5816,-79.0509
Anchorage,Alaska,676,61.1508,-149.1091
Anderson,South Carolina,521,34.5211,-82.6479
Anderson,Texas,138,30.4871,-95.9899
Andrews,Texas,24,32.3208,-102.552
Anoka,Minnesota,113,45.2099,-93.3893
Appling,Georgia,22,33.5588,-82.3183
Appomattox,Virginia,25,37.3591,-78.8269
Arlington,Virginia,180,38.8786,-77.1011
Ashland,Ohio,25,40.8668,-82.3156
Ashland,Wisconsin,11,46.5801,-90.8715
Ashtabula,Ohio,69,41.8806,-80.7984
Asotin,Washington,17,46.3366,-117.0414
Atchison,Kansas,16,39.5625,-95.1367
Athens,Ohio,22,39.3269,-82.0988
Atoka,Oklahoma,31,34.3857,-96.1313
Austin,Texas,43,30.3004,-97.7522
Bailey,Texas,17,33.4335,-96.1649
Baldwin,Georgia,83,34.4864,-83.5494
Baltimore,Maryland,1113,39.3051,-76.6144
Bamberg,South Carolina,65,33.2995,-81.0323
Bandera,Texas,25,29.7253,-99.074
Baraga,Michigan,3,46.7766,-88.4965
Barnstable,Massachusetts,107,41.6722,-70.3599
Barnwell,South Carolina,71,33.2419,-81.3659
Barron,Wisconsin,23,45.4015,-91.8476
Bartow,Georgia,72,32.8816,-82.4712
Bastrop,Texas,112,30.1118,-97.3257
Bayfield,Wisconsin,12,46.8141,-90.8226
Beaufort,North Carolina,120,34.7308,-76.6487
Beaufort,South Carolina,221,32.4597,-80.7235
Beaver,Oklahoma,5,36.8151,-100.5235
Beaver,Pennsylvania,169,40.6936,-80.3074
Beaver,Utah,9,38.2759,-112.6383
Becker,Minnesota,17,45.3815,-93.8737
Bedford,Virginia,70,37.336,-79.5179
Belmont,Ohio,35,40.0279,-81.041
Beltrami,Minnesota,32,47.5425,-96.527
Benton,Arkansas,106,34.5775,-92.5712
Benton,Iowa,11,40.7041,-94.3612
Benton,Missouri,21,37.099,-89.5624
Benton,Tennessee,15,35.1749,-84.6516
Bernalillo,New Mexico,1888,35.3127,-106.5537
Bethel,Alaska,23,60.7928,-161.7917
Bienville,Louisiana,23,32.3618,-92.9788
Big Horn,Wyoming,12,44.6791,-106.9971
Blanco,Texas,15,30.0987,-98.4169
Bland,Virginia,12,37.1,-81.1161
Blue Earth,Minnesota,26,43.6404,-94.1004
Boise,Idaho,19,43.6007,-116.2312
Boone,Iowa,9,42.053,-93.877
Bottineau,North Dakota,4,48.8248,-100.4425
Boulder,Colorado,163,40.0249,-105.2523
Bowie,Texas,258,33.5566,-97.844
Bowman,North Dakota,1,46.184,-103.3991
Bradford,Pennsylvania,53,41.9604,-78.6414
Bradley,Arkansas,36,33.0993,-93.6569
Brazoria,Texas,387,29.0455,-95.5673
Bristol,Virginia,31,36.618,-82.1606
Bronx,New York,1,40.8501,-73.8662
Brookings,South Dakota,4,44.3022,-96.7859
Brooks,Georgia,28,33.2925,-84.4588
Broomfield,Colorado,12,39.9541,-105.0527
Brunswick,North Carolina,128,34.2879,-78.7084
Buchanan,Virginia,79,37.5211,-79.6894
Buena Vista,Virginia,7,37.7319,-79.3569
Burleson,Texas,44,32.517,-97.3343
Burnet,Texas,37,30.7496,-98.2383
Burnett,Wisconsin,10,43.5065,-88.7084
Butler,Alabama,60,32.0965,-88.2108
Butler,Kentucky,3,38.7877,-84.372
Butler,Missouri,62,38.2598,-94.3393
Butler,Ohio,349,40.5896,-82.4211
Butler,Pennsylvania,83,40.8616,-79.8962
Cache,Utah,22,41.8308,-112.0052
Caddo,Oklahoma,77,34.1288,-96.2678
Caldwell,Texas,35,30.5307,-96.7007
Calhoun,Georgia,22,34.4918,-84.9391
Calhoun,Illinois,1,38.6511,-88.044
Camden,Missouri,35,39.2001,-94.0196
Camden,New Jersey,1619,39.9362,-75.1073
Camden,North Carolina,10,36.325,-76.17
Cameron,Louisiana,3,29.787,-93.2925
Cameron,Texas,641,30.8608,-96.9762
Canadian,Oklahoma,87,35.1741,-95.6496
Cape Girardeau,Missouri,72,37.3108,-89.5597
Cape May,New Jersey,90,38.9409,-74.9042
Carlisle,Kentucky,1,38.3162,-84.0333
Carlton,Minnesota,17,46.6635,-92.407
Carroll,Iowa,2,42.0699,-94.8647
Carroll,Ohio,1,39.8027,-82.7063
Carter,Oklahoma,132,35.2175,-99.5038
Carver,Minnesota,27,44.76,-93.6305
Cascade,Montana,67,47.277,-111.7025
Catahoula,Louisiana,15,30.2125,-91.7127
Catawba,North Carolina,323,35.7066,-81.0659
Cattaraugus,New York,43,42.33,-78.8671
Cavalier,North Dakota,3,48.7939,-97.6226
Cayuga,New York,44,42.9191,-76.7265
Champaign,Illinois,86,40.1144,-88.2735
Charles City,Virginia,13,37.3441,-77.0687
Charleston,South Carolina,1122,32.8153,-79.9628
Charlevoix,Michigan,9,45.3138,-85.2557
Charlottesville,Virginia,112,38.0375,-78.4855
Chase,Kansas,1,38.3553,-98.3489
Chautauqua,Kansas,4,37.0241,-96.1776
Cheboygan,Michigan,12,45.6415,-84.4685
Chelan,Washington,91,47.8414,-120.0263
Cherokee,Alabama,12,34.7577,-87.967
Cherokee,Iowa,1,42.7501,-95.5528
Cherokee,Kansas,23,37.3451,-94.8215
Cherokee,North Carolina,47,35.486,-83.3011
Cherokee,Oklahoma,73,36.7547,-98.3551
Chesapeake,Virginia,365,36.6778,-76.3024
Chester,Pennsylvania,294,39.8456,-75.3718
Chester,South Carolina,118,34.705,-81.2132
Chesterfield,South Carolina,159,34.733,-80.078
Childress,Texas,8,34.4293,-100.2516
Choctaw,Oklahoma,73,35.48,-97.2666
Claiborne,Louisiana,44,32.5379,-92.1981
Clare,Michigan,33,43.8258,-84.763
Clarion,Pennsylvania,37,41.2106,-79.3803
Clay,Alabama,8,33.6976,-86.607
Clay,Kentucky,85,37.4763,-87.8203
Clay,West Virginia,23,38.4661,-81.0816
Clayton,Georgia,588,34.8775,-83.4027
Clayton,Iowa,3,42.9033,-91.1505
Clearfield,Pennsylvania,57,41.0216,-78.439
Clearwater,Minnesota,6,45.4102,-94.0446
Cleveland,North Carolina,256,35.7327,-80.6814
Cleveland,Oklahoma,176,36.3002,-96.4631
Clifton Forge,Virginia,3,37.8232,-79.825
Clinton,Illinois,5,40.1468,-88.9633
Clinton,Indiana,7,39.6608,-87.4045
Clinton,Iowa,29,41.8434,-90.2408
Clinton,Kentucky,8,36.6662,-88.9939
Clinton,Michigan,36,42.0699,-83.9687
Clinton,Missouri,12,38.3716,-93.7679
Clinton,New York,55,43.0488,-75.3785
Clinton,Ohio,17,40.9284,-81.6304
Clinton,Pennsylvania,39,40.4926,-80.296
Coahoma,Mississippi,116,34.3664,-90.522
Coleman,Texas,15,31.8317,-99.4223
Colonial Heights,Virginia,21,37.265,-77.3969
Colquitt,Georgia,138,31.1741,-84.7319
Columbia,Pennsylvania,41,40.0348,-76.4944
Columbiana,Ohio,34,40.8871,-80.675
Columbus,North Carolina,218,35.266,-82.1985
Colusa,California,35,39.2059,-122.0125
Comanche,Oklahoma,299,34.3597,-97.9478
Comanche,Texas,18,31.9005,-98.6044
Conejos,Colorado,12,37.0872,-106.0161
Conway,Arkansas,49,35.0754,-92.4694
Cook,Minnesota,3,47.8414,-92.6888
Cortland,New York,15,42.6004,-76.1784
Coshocton,Ohio,21,40.2618,-81.848
Cottonwood,Minnesota,5,44.6106,-95.672
Covington,Virginia,19,37.7785,-79.9868
Crane,Texas,5,31.3919,-102.3503
Crawford,Georgia,7,33.883,-83.1552
Crittenden,Kentucky,4,38.7754,-84.6137
Crockett,Texas,11,31.3177,-95.4564
Crosby,Texas,17,29.9146,-95.0591
Crowley,Colorado,4,38.1935,-103.8598
Cullman,Alabama,51,34.1777,-86.8407
Culpeper,Virginia,41,38.4705,-78.0001
Cumberland,Kentucky,9,36.9824,-82.9919
Cumberland,Virginia,27,37.4914,-78.2577
Custer,Montana,12,46.1293,-107.5552
Custer,South Dakota,3,43.7668,-103.6005
Dakota,Minnesota,94,43.9106,-91.3605
Dallas,Texas,11148,32.7936,-96.7662
Dane,Wisconsin,253,43.2499,-89.4996
Danville,Virginia,206,36.5831,-79.4087
Darlington,South Carolina,253,34.3015,-79.867
Dauphin,Pennsylvania,546,40.3684,-76.9296
Davidson,North Carolina,217,35.4846,-80.8252
Dawson,Georgia,19,31.7721,-84.4437
Dawson,Nebraska,24,40.1304,-95.8296
Dawson,Texas,29,31.8941,-96.7151
De Kalb,Missouri,2,39.5883,-94.9236
De Witt,Illinois,4,40.1848,-88.7853
DeKalb,Illinois,13,41.9313,-88.7482
Decatur,Georgia,71,33.7711,-84.2968
Decatur,Indiana,30,40.8286,-84.9282
Decatur,Tennessee,10,35.5291,-84.7933
Deer Lodge,Montana,12,46.3974,-112.7337
Defiance,Ohio,15,41.281,-84.3661
Delaware,Iowa,2,42.4713,-91.339
Delaware,Ohio,46,40.2866,-83.0747
Delaware,Oklahoma,60,36.7789,-95.6426
Delta,Colorado,24,38.756,-108.0772
Denton,Texas,290,33.2176,-97.1419
Denver,Colorado,2365,39.7621,-104.8759
Des Moines,Iowa,33,41.5725,-93.6105
Dewey,Oklahoma,5,36.7915,-95.9328
Dickens,Texas,6,33.6213,-100.8368
Dickey,North Dakota,2,46.5368,-98.4681
Dickson,Tennessee,42,36.064,-87.3668
Dillingham,Alaska,11,59.055,-158.5379
Dillon,South Carolina,177,34.4233,-79.3689
Dodge,Nebraska,12,41.7218,-96.8804
Dodge,Wisconsin,28,44.1345,-91.5485
Douglas,Georgia,133,31.5065,-82.8543
Douglas,Nebraska,596,40.5932,-96.3882
